word length hasE
Four 4 No
college 7 Yes
friends 7 Yes
were 4 Yes
so 2 No
confident 9 Yes
that 4 No
the 3 Yes
weekend 7 Yes
before 6 Yes
finals 6 No
they 4 Yes
decided 7 Yes
to 2 No
go 2 No
to 2 No
a 1 No
city 4 No
several 7 Yes
hours 5 No
away 4 No
to 2 No
party 5 No
with 4 No
some 4 Yes
friends 7 Yes
They 4 Yes
had 3 No
a 1 No
great 5 Yes
time 4 Yes
However 7 Yes
after 5 Yes
all 3 No
the 3 Yes
partying 8 No
they 4 Yes
slept 5 Yes
all 3 No
day 3 No
Sunday 6 No
and 3 No
didnt 5 No
make 4 Yes
it 2 No
back 4 No
to 2 No
school 6 No
until 5 No
early 5 Yes
Monday 6 No
morning 7 No
Rather 6 Yes
than 4 No
taking 6 No
the 3 Yes
final 5 No
then 4 Yes
they 4 Yes
decided 7 Yes
to 2 No
find 4 No
their 5 Yes
professor 9 Yes
after 5 Yes
the 3 Yes
final 5 No
and 3 No
explain 7 Yes
to 2 No
him 3 No
why 3 No
they 4 Yes
missed 6 Yes
it 2 No
They 4 Yes
explained 9 Yes
that 4 No
they 4 Yes
had 3 No
gone 4 Yes
to 2 No
the 3 Yes
city 4 No
for 3 No
the 3 Yes
weekend 7 Yes
with 4 No
the 3 Yes
plan 4 No
to 2 No
come 4 Yes
back 4 No
and 3 No
study 5 No
but 3 No
unfortunately 13 Yes
they 4 Yes
had 3 No
a 1 No
flat 4 No
tire 4 Yes
on 2 No
the 3 Yes
way 3 No
back 4 No
didn't 6 No
have 4 Yes
a 1 No
spare 5 Yes
and 3 No
couldn't 8 No
get 3 Yes
help 4 Yes
for 3 No
a 1 No
long 4 No
time 4 Yes
As 2 No
a 1 No
result 6 Yes
they 4 Yes
missed 6 Yes
the 3 Yes
final 5 No
The 3 Yes
Professor 9 Yes
thought 7 No
it 2 No
over 4 Yes
and 3 No
then 4 Yes
agreed 6 Yes
they 4 Yes
could 5 No
make 4 Yes
up 2 No
the 3 Yes
final 5 No
the 3 Yes
following 9 No
day 3 No
The 3 Yes
four 4 No
were 4 Yes
elated 6 Yes
and 3 No
relieved 8 Yes
They 4 Yes
studied 7 Yes
that 4 No
night 5 No
and 3 No
went 4 Yes
in 2 No
the 3 Yes
next 4 Yes
day 3 No
at 2 No
the 3 Yes
time 4 Yes
the 3 Yes
professor 9 Yes
had 3 No
told 4 No
them 4 Yes
He 2 Yes
placed 6 Yes
them 4 Yes
in 2 No
separate 8 Yes
rooms 5 No
and 3 No
handed 6 Yes
each 4 Yes
of 2 No
them 4 Yes
a 1 No
test 4 Yes
booklet 7 Yes
and 3 No
told 4 No
them 4 Yes
to 2 No
begin 5 Yes
They 4 Yes
looked 6 Yes
at 2 No
the 3 Yes
first 5 No
problem 7 Yes
worth 5 No
5 1 No
points 6 No
It 2 No
was 3 No
something 9 Yes
simple 6 Yes
about 5 No
exploratory 11 Yes
data 4 No
analysis 8 No
Cool 4 No
they 4 Yes
thought 7 No
at 2 No
the 3 Yes
same 4 Yes
time 4 Yes
each 4 Yes
one 3 Yes
in 2 No
his 3 No
separate 8 Yes
room 4 No
This 4 No
is 2 No
going 5 No
to 2 No
be 2 Yes
easy 4 Yes
Each 4 No
finished 8 Yes
the 3 Yes
problem 7 Yes
and 3 No
then 4 Yes
turned 6 Yes
the 3 Yes
page 4 Yes
On 2 No
the 3 Yes
second 6 Yes
page 4 Yes
was 3 No
written 7 Yes
For 3 No
95 2 No
points 6 No
Which 5 No
tire 4 Yes
